id,dosya,satır,ekran,özellik,başlık,kategori,severite,mevcut,problem,çözüm,kullanıcıEtkisi,tasarımÖnerisi,impact,gereksinim,testAlanları,testSenaryosu,otomasyonUygun,eforSeviyesi,_report_type
ARCH-001,apps/web/lib/hooks/use-management.ts,,,,Monolitik Hook Dosyası (2604 satır) — Aşırı Karmaşıklık,Mimarisi,Yüksek,"use-management.ts 2604 satırlık tek hook dosyası — 50+ export'a sahip types, interfaces, query factory, CRUD mutation'ları içeriyor","Dosya çok büyüktür ve bakım zorluğu yaratır. Bundle'a yükleme, test yazma, code review zorlaşıyor. İlgisiz domain'ler karışmış durumda (repository, runs, defects, release, requirements hepsi aynı dosyada).","Domain-driven splitting: use-management-repository.ts, use-management-runs.ts, use-management-defects.ts, use-management-release.ts gibi 5-6 dosyaya böl. Her domain kendi query keys factory'sine sahip olsun. query-keys.ts'de re-export et.",,,,,,,,,architect
ARCH-002,apps/web/components/AppShell.tsx,,,,Monolitik App Shell Bileşeni (882 satır) — State/Presentational Karışımı,Kod Kalitesi,Yüksek,"AppShell.tsx sidebar logic, navigation rendering, product picker, theme management, sidebar search hepsi aynı bileşende. 15+ state hook'u, useMemo/useCallback 20+ adet.","Bileşen çok fazla sorumluluk taşıyor. Sidebar navigasyonu, product picker, tema logic'i, layout yönetimi hepsi karışmış. Test yazmak, refactor etmek zor. SSR/hydration sorunları potansiyeli.","_components/ alt klasörü oluştur: SidebarNav.tsx, SidebarContent.tsx, ProductPicker.tsx, SidebarSearch.tsx. Presentational components çıkar. AppShell yalnızca layout orchestration'ını yönetsin.",,,,,,,,,architect
ARCH-003,apps/web/app/(dashboard)/new-project/page.tsx,,,,Mega Page Component (2835 satır) — Single Responsibility Violation,Mimarisi,Kritik,"new-project/page.tsx 2835 satır — proje oluşturma formu, wizard steps, validation, submission, error handling hepsi aynı dosyada","Page component yalnızca orchestration yapmalı, form logic'i alt-bileşenlerde olmalı. Şimdi tamamı karışık. Test edilebilirlik düşük. Bileşen reusability yok. State management scattered.","_components/ klasörü oluştur: ProjectFormWizard.tsx (steps), ProjectFormFields.tsx (field validation), ProjectCreationSummary.tsx (review). Page.tsx yalnızca state + error boundary + layout.",,,,,,,,,architect
ARCH-004,apps/web/app/(dashboard)/p/[projectId]/management/dashboard/page.tsx,,,,Mega Management Dashboard (1690 satır) — Excessive Inline Rendering,Kod Kalitesi,Yüksek,"Dashboard 1690 satır — Release checklist, flaky tests, review queue, defects, execution summary widgets'ları inline JSX'te render ediliyor. Her widget için state/data loading inline.",Widget'lar reusable değil. Dashboard sayfasında copy-paste render logic. Widget logic'i başka sayfalardan kullanılamıyor. Test etmek zor. Performance problemi — useMemo eksik.,"Her widget kendi component'i olsun: ReleaseChecklistWidget.tsx, FlakyTestsWidget.tsx, ReviewQueueWidget.tsx, DefectSummaryWidget.tsx. Props ile data geç. lib/hooks/use-dashboard-widgets.ts oluştur.",,,,,,,,,architect
ARCH-005,apps/web/lib/hooks/use-api-testing.ts ve diğer hooks,,,,Query Key Namespace Çakışmaları (Inconsistent Pattern),State Management,Orta,"use-management.ts `['management', projectId, ...]` kullanıyor, use-api-testing.ts benzersiz pattern, use-dsl.ts farklı pattern. managementKeys factory kullanılırken query-keys.ts'de re-export edilmiyor hepsi.",Query invalidation'larda tuple key vs factory key karışıklığı. Cache buster yanlış çalışabilir. Pagination/filtering query'leri duplicate cache entry yaratabilir. Performance hit.,ROOT_KEYS + factory pattern kesinleştir: tüm hooks 'managementKeys.xxx()' factory kullanmalı. query-keys.ts'de 18 factory'nin hepsini validate et. Linter rule ekle (eslint-plugin-query).,,,,,,,,,architect
ARCH-006,apps/web/components/ (50+ component),,,,Smart vs Dumb Component Katmanı Tanımsız,Mimarisi,Orta,"components/ klasöründe büyük component'ler (CommandPalette.tsx, AiAssistant.tsx, NotificationBell.tsx) veri fetching + state management yaparken, _components/ klasörleri sadece belirli page'ler altında.",ADR-0012 (backend-first) pattern'i uygulanmadı. Component'ler useQuery/useMutation yapıyor. Reusability düşük. Page layout vs reusable component sınırı net değil. Shell-level ve page-level component'ler karışmış.,"Tier yapısı tanımla: shells/ (AppShell, layouts), ui/ (dumb design components), features/ (smart, API iletişimli), pages/ (_components klasörleri). Smart component'ler Page'ye ait olsun.",,,,,,,,,architect
ARCH-007,apps/web/app/(dashboard)/p/[projectId]/management/_components/CaseDetailDrawer.tsx,,,,Mega Component Drawer (1095 satır),Kod Kalitesi,Yüksek,"CaseDetailDrawer.tsx 1095 satır — case details, steps, evidence, comments, defects, version history hepsi sekme'de render ediliyor",Tek bileşende çok fazla logic. Sekme switch'i yapıldığında tüm component re-render. LazyTab pattern yok. Bundle boyutu büyütüyor. Test difficultness yüksek.,"Lazy tab-component pattern: CaseDetailsTab.tsx, CaseStepsTab.tsx, CaseEvidenceTab.tsx, CaseCommentsTab.tsx, CaseDefectsTab.tsx. Dynamic import + Suspense. Sekme değişimi sadece o tab'ı render etsin.",,,,,,,,,architect
ARCH-008,apps/web/next.config.mjs,,,,API Proxy Fallback Stratejisi Eksik,Performans,Orta,next.config.mjs /api/v1 proxy'si API_PROXY_TARGET || NEXT_PUBLIC_API_BASE kullanıyor. Fallback tek seviyeli. Hata handling yok.,Backend down'sa frontend de 502 verir. Retry logic yok. Health check yok. Fallback API Gateway varsa kullanılamıyor. Client-side fetch'lerde error state gösterilmiyor (ADR-0012 pattern eksik).,next.config'te middleware fallback ekle (fallback API host). lib/api-client.ts'de retry-with-exponential-backoff. useQuery errorFallback callback. Online/offline detection.,,,,,,,,,architect
ARCH-009,apps/web/lib/useProject.tsx,,,,Global Project Context — localStorage Dependency,State Management,Orta,,localStorage corruption'da uygulama break olur. Private browsing mode'da sessiz fail. Cross-tab sync yok — bir tab'da project değişince diğerleri update olmaz. localStorage LS_KEY hardcoded.,sessionStorage + localStorage hybrid (session-first fallback). useEffect cleanup güçlendir. StorageEvent listener cross-tab sync. Fallback UI show et eğer localStorage fail.,,,,,,,,,architect
ARCH-010,apps/web/app/(dashboard)/layout.tsx,,,,Layout'ta Business Logic — useEffect Chains,Kod Kalitesi,Yüksek,"DashboardInner component'te projects loading, session expiry handling, project touch, onboarding redirect, context sync — hepsi useEffect'te. 5+ effect dependency chains.","Effect dependencies kompleks (projects, projectId, activeProject, setProject). Infinite loop riski. Race conditions. Mounting sırası önemli. Test etmek çok zor. Side effect'ler business logic'te karışık.","Custom hooks çıkar: useProjectSync (URL→context sync), useSessionExpiry (event listener), useOnboardingRedirect. Layout yalnızca Provider composition yapsin.",,,,,,,,,architect
