ID,Kategori,İlgili Modül/Dosya,Bulgu Başlığı,Detaylı Açıklama,Kanıt,Etkilenen İşlev,Risk Seviyesi,Öncelik,Etki Alanı,Önerilen Çözüm,Teknik Adımlar,Test Senaryoları,Otomasyon?,Manuel Test?,Uzman Görüşü,Lead Karar,Açık Sorular,Efor,Durum
S-CRIT-1,Güvenlik,backend/app/engine/routes/ai_intelligence.py:211,SSL Certificate Verification Bypass,HTTPX çağrısında verify=False ile SSL MITM açısı,verify=False parametre koduyla,AI Intelligence yürütme,Kritik,P0,Güvenlik,verify=True yap,Kod değiştir + test,SSL verify test scenario,Evet,Evet,SSRF protection eksik başı,IMMEDIATE FIX REQUIRED,Production impact ne düzeyde?,XS,Kanıtlandı
S-CRIT-2,Güvenlik,backend/app/core/tenant_middleware.py:22-35,Tenant Default Fallback Silent Bypass,JWT'de tenant claim yoksa DEFAULT_TENANT'a düşüyor,try/except ile default 00000000-0000-0000-0000-000000000001,Multi-tenancy isolasyonu,Kritik,P0,Güvenlik,Exception raise et logging add,Middleware değiştir,Tenant claim missing test,Evet,Evet,Multi-tenant boundary test,IMMEDIATE FIX REQUIRED,Test token'lar ne kadar expose?,XS,Kanıtlandı
S-CRIT-3,Güvenlik,backend/app/domains/jira/router.py + ingestion/router.py,Webhook HMAC Verification Optional,Webhook secret env var set bile signature verify call yok,/api/jira/webhook/jira-incoming route'unda check yok,Jira/Ingestion webhook safety,Kritik,P1,Güvenlik,HMAC mandatory validation,Signature verify endpoint çağrısı ekle,Webhook authenticity test,Evet,Evet,Webhook security critical,FIX BEFORE GA,Production webhook endpoint ne kadar exposed?,M,Kanıtlandı
T-CRIT-1,Test,backend/tests/,Backend Test Coverage %41.9 vs %70 Threshold,CI pipeline requires_db require_redis exclude ediyor; gerçek coverage %41.9,coverage.xml line-rate="0.419" + pytest.ini -m exclude,Tüm backend test'ler,Kritik,P1,Test,Integration test'leri CI enable et,CI config değiştir + 200 test yaz,Integration test suite full run,Evet,Evet,Test Mimarı: critical blind spot,BLOCKING PRODUCTION,Hangi test'ler exclude edilmeli vs hepsi enable?,XL,Kanıtlandı
T-CRIT-2,Test,backend/tests/bdd/features/,BDD Test Coverage Minimal (3 Feature vs 53 Domain),Sadece 3 feature dosyası (Auth Project Scenario) 77 marker var ama 6 domain marked,pytest.ini satır 23-62; features/ klasörü,QA traceability,Kritik,P1,Test,Domain'lere BDD TC yaz,Feature dosya ekle; step impl,BDD DSL coverage,Evet,Evet,Test Mimarı: adoption düşük,SPRINT 1,Hangi domain'ler critical BDD ihtiyaç?,L,Kanıtlandı
T-HIGH-1,Test,e2e/global-setup.ts,E2E Global Setup Brittleness,Admin login fail → throw Error() → 35 test fail; retry yok,throw new Error() line 27-30,E2E test suite,Yüksek,P1,Test,Fallback mechanism ekle,Retry + skip non-critical test,Global setup failure test,Evet,Evet,Test Mimarı: critical blocker,FIX SPRINT 1,Fallback behavior ne olmalı?,S,Kanıtlandı
T-HIGH-2,Test,backend/conftest.py,Test Data Seed Factory Eksik,Helper yok role org team creation; her test kendi mock yapıyor,conftest.py fixture'lar minimal,Test data consistency,Yüksek,P2,Test,Centralized seed factory (Factory Boy),Factory pattern implement,Test data repeatability,Evet,Evet,Test Mimarı: code duplication,SPRINT 2,Seed strategy ne (in-memory vs DB)?,L,Kanıtlandı
DB-CRIT-1,Database,backend/app/infra/database.py + 20260609_0001,Multi-Tenant RLS Missing (5 Tables),test_management_shared_steps mgmt_comments exploration_sessions vb RLS policy yok,migration 20260609_0001 partial; pg_tables rowsecurity=false,Tenant data isolation,Kritik,P0,Veri,RLS policy apply verification,Migration execute all env doğrula,RLS cross-tenant access test,Evet,Evet,DB Uzmanı: immediate,IMMEDIATE PRODUCTION RISK,RLS policy script ne?,S,Kanıtlandı
DB-CRIT-2,Database,backend/app/infra/models.py:133-144,ProjectMember Missing Foreign Key,project_id String(128) ForeignKey yok cascade yok,project_id column definition,Project deletion consistency,Kritik,P2,Veri,FK constraint ekle,Migration alter table + constraint,ProjectMember orphan test,Evet,Evet,DB Uzmanı: referential integrity,SPRINT 2,ProjectID type UUID vs String mı?,S,Kanıtlandı
DB-CRIT-3,Database,backend/alembic/versions/,Migration DAG Merge Head Complexity,99 migration 4 merge migration; head ambiguity,branch output multiple heads,Fresh DB setup,Kritik,P1,Veri,Single canonical head verify,Alembic branches; merge strategy doc,Migration upgrade test fresh DB,Evet,Evet,DB Uzmanı: DevOps risk,SPRINT 1,Merge strategy canonical head?,S,Kanıtlandı
