error_message,label
Element not found: 'login_btn',Locator Hatası
NoSuchElementException: Unable to locate element,Locator Hatası
Cannot find element with xpath '//div[@id='form']',Locator Hatası
Locator 'submit_button' bulunamadı,Locator Hatası
By.cssSelector: .btn-primary not found,Locator Hatası
org.openqa.selenium.NoSuchElementException,Locator Hatası
Element with id 'user_input' not present,Locator Hatası
Unable to locate element: //input[@name='email'],Locator Hatası
Dynamic ID caused element not found,Locator Hatası
Element not found in iframe,Locator Hatası
Shadow DOM element not located,Locator Hatası
XPath syntax error in locator,Locator Hatası
Element 'menu_item' not found on page,Locator Hatası
Locator for 'dropdown' invalid,Locator Hatası
CSS selector '.modal-dialog' returned no elements,Locator Hatası
Element not found: 'search_field',Locator Hatası
Unable to locate link with text 'logout',Locator Hatası
Locator 'form_submit' bulunamadı,Locator Hatası
No such element: By.id('popup'),Locator Hatası
Element locator failed for 'profile_btn',Locator Hatası
TimeoutException: waiting for visibility of element,Timeout Hatası
org.openqa.selenium.TimeoutException: Expected condition failed,Timeout Hatası
Element not visible after 10 seconds,Timeout Hatası
Waiting for element '//div[@class='modal']' timed out,Timeout Hatası
Timeout waiting for page to load,Timeout Hatası
WebDriverWait failed: element not interactable,Timeout Hatası
Timeout: element 'login_btn' not found,Timeout Hatası
Sayfa yüklenmesi 30 saniyeyi aştı,Timeout Hatası
Expected condition failed: waiting for element,Timeout Hatası
TimeoutException at line 123,Timeout Hatası
Visibility timeout for element 'popup',Timeout Hatası
Timeout waiting for element 'user_form',Timeout Hatası
Page load timeout exceeded,Timeout Hatası
Element not clickable after 20 seconds,Timeout Hatası
Timeout: waiting for AJAX response,Timeout Hatası
WebDriverWait timeout for 'submit_btn',Timeout Hatası
Sayfa yükleme zaman aşımı,Timeout Hatası
Timeout waiting for element visibility,Timeout Hatası
Element 'dropdown' not visible,Timeout Hatası
TimeoutException: element not found,Timeout Hatası
Expected 'Login Successful' but got 'Login Failed',Assertion Hatası
"AssertionError: actual value 5, expected 10",Assertion Hatası
Test failed: incorrect page title,Assertion Hatası
Doğrulama hatası: beklenen değer bulunamadı,Assertion Hatası
"Assertion failed: expected true, got false",Assertion Hatası
Expected text 'Welcome' not found,Assertion Hatası
AssertionError: element not visible,Assertion Hatası
Test case failed: value mismatch,Assertion Hatası
Beklenen sonuç 'Kayıt Başarılı' değil,Assertion Hatası
Assertion failed at step definition,Assertion Hatası
Expected URL '/dashboard' but got '/login',Assertion Hatası
Validation error: incorrect data,Assertion Hatası
AssertionError: list size mismatch,Assertion Hatası
Test sonucu beklenenden farklı,Assertion Hatası
Expected element 'btn_save' to be enabled,Assertion Hatası
Assertion failed: invalid response,Assertion Hatası
Boolean condition not satisfied,Assertion Hatası
Assertion error: page not loaded,Assertion Hatası
"Expected status 200, got 404",Assertion Hatası
Test failed: incorrect output,Assertion Hatası
Database connection failed,Database Hatası
SQL syntax error in query,Database Hatası
java.sql.SQLException: No suitable driver found,Database Hatası
Veritabanına bağlanılamadı,Database Hatası
Connection refused: database server,Database Hatası
Invalid SQL statement,Database Hatası
Database timeout: query execution,Database Hatası
Table 'users' does not exist,Database Hatası
SQL error: column not found,Database Hatası
