ID,Entegrasyon_Adı,İlgili_Modül,Kullanım_Amacı,Kullanıcı_Problemi,Sağlayacağı_Değer,Entegrasyon_Tipi,Gerekli_Veri_Kaynakları,RAG_Gerekli,VectorDB_Gerekli,Backend_API,Frontend_UI,Kullanıcı_Onayı,LLM_Doğrudan_İşlem,Güvenlik_Riski,Prompt_Injection_Riski,Veri_Gizliliği_Riski,Yetkilendirme,Audit_Log,Doğrulama_Yöntemi,Test_Stratejisi,Başarı_Kriteri,Maliyet_Etkisi,Performans_Etkisi,Öncelik,Faz,Tahmini_Efor,Bağımlılıklar,Risk_Azaltma,Lead_Kararı,Durum
LLM-01,Test Senaryosu Otomatik Üretimi,test_ide / bdd_wizard,Kullanıcıyı BDD test case yazımında otomatik olarak desteklemek,Manuel test yazımı çok zaman alıyor; BDD formatı öğrenme eğrisi yüksek; Coverage'ın %35'i açık kalıyor,5-6x hız artışı; %45→%89 coverage yükselmesi; BDD standartı otomatik uygulanması,Copilot + RAG,Test case history;  requirement docs; domain patterns; DSL phrase library,Evet,Evet,POST /api/v1/ai/generate-bdd; GET /api/v1/bdd-templates,BDD IDE'de inline suggestions; preview panel; apply-with-mods button,Evet (user reviews before apply),Hayır; Copilot mod önerisi sunar; kullanıcı final edits yapar,Orta: Prompt injection via requirement text; Hallucination risk,Yüksek: Malicious requirement doc embed,Yüksek: Test case veri sızıntısı; Customer data reflection,test_management.write + ai.generate,Evet; Create + Apply eklenmeleri logged,Doğruluğu reviewer panel; LLM güvenilirlik score; semantic similarity check,Unit: BDD parse validity; E2E: Story→testCase round-trip; Regression: DSL phrase consistency,Pass rate %85+; Semantic match ≥80%; Hallucination <5%; User acceptance >70%,Orta,Düşük (<50ms latency),P1,MVP,M,- AI Gateway operasyonel; - DSL library populated; - Async refresh token done,- Maksimum 3 turn conversation (token budget); - Required field masking; - RAG index veri tabanındaki örnek olmayan docs exclude; - Test before apply workflow enforced,✅ Önerilir,Tasarım onayı bekleniyor
LLM-02,Manuel Test Senaryo İyileştirmesi,qa / management,Existing test case'leri daha iyi kapsama alanı ve clarity için optimize etmek,Test case'ler teknik borç içeriyor; Adım açıklamaları vague; Testler çakışık,Test case kalitesi ortalama %35→%85; Redundansy %40→%10; Clarity score +45%,Copilot + Analyzer,Test case repo; execution history; defect linkage; coverage data,Evet,Evet,POST /api/v1/ai/improve-test-cases; PATCH with suggestions,Existing case editor'de suggestion sidebar; approve/reject/edit each suggestion,Evet (AI suggests improvements; user edits before save),Hayır; Pure suggestion mode,Orta: Prompt injection in case descriptions; Overthinking risk,Orta: Sensitive test data in preconditions,Yüksek: Defect comments may contain PII,test_management.write,Evet,LLM improvement score; User feedback (helpful/not); Side-by-side diff validation,Unit: Suggestion validity parsing; E2E: Improved case pass rate check,Pass rate stability ≥95%; Clarity improvement ≥40%; User satisfaction >60%,Düşük,Düşük,P1,MVP,M,- RAG index ready; - Defect data sanitization done,- Veri masking in RAG (customer names → [CUSTOMER]); - Suggestion score threshold (minimum confidence); - User can reject all suggestions,✅ Önerilir,Hemen uygulanabilir
LLM-03,Eksik Test Case Önerme,management / coverage,Coverage gap'larını detect edip eksik test önerileri sunmak,Coverage'da 40%+ boşluk; Hangi requirement'ların test edilmediği bilinmiyor,Coverage %35→%89; Recommendation accuracy ≥80%; Feature parity test coverage,Analyzer + Recommender,Requirements; executed test history; coverage matrix; defect history,Evet,Evet,POST /api/v1/ai/suggest-missing-tests; GET /coverage/gaps,Coverage heatmap'de "Missing" badge; Expandable recommendation panel; batch-add-to-plan button,Evet (all suggestions are batched; user reviews before adding to plan),Hayır; Pure suggestion,Orta: Prompt injection in requirement text,Yüksek: Complete requirement doc exposure,Yüksek: Business logic exposure,coverage.read + test_management.write,Evet; suggestion source logged,LLM recommendation confidence; User acceptance of suggestions; Coverage impact analysis,Unit: Suggestion quality checks; E2E: Added tests actually improve coverage; Regression: Historical coverage trend,Coverage gap closes ≥70%; Recommendation acceptance >65%; False positive <10%,Orta,Düşük,P1,MVP,L,- Requirements indexed in RAG; - Coverage calculation accurate; - Historical execution data available,- Recommendation confidence minimum 70%; - Top-3 suggestions per gap (avoid LLM expansion); - Quarterly RAG reindex for freshness,✅ Önerilir,MVP'ye alınmalı
LLM-04,Regresyon Suite Önerme,test_management / tspm,Yeni değişikliklerden etkilenebilecek test'leri otomatik seçmek,Regresyon suite'leri manuel oluşturulduğu için 35% waste; Risk'li test'ler gözden kaçıyor,35% CI speedup; Test coverage risk dropped 20%; Maintenance cost -45%,Analyzer + Recommendation Engine,Code change history; test execution history; code-test traceability; defect patterns,Evet,Evet,POST /api/v1/ai/select-regression-suite; GET /api/v1/impact-analysis,Test run creation page'de "AI Recommend" button; Impact analysis chart; suite preview before save,Evet (AI recommends; user finalizes suite before schedule),Hayır; Suite confirmation required,Düşük: No code execution; Analyze-only,Düşük: Code diffs may contain patterns,Orta: Change impact scope,test_management.read + test_management.write,Evet; selection rationale logged,Regression pass rate; false positive rate; coverage maintained; impact analysis accuracy,Unit: Impact graph correctness; E2E: Recommended suite catches 90%+ of defects; Regression: Consistency of selections,Pass rate ≥95%; Defect catch rate ≥90%; False positive <5%; User adoption >70%,Orta,Düşük,P1,MVP,L,- Code-test traceability built; - Historical defect-code mapping;  - Impact analysis engine,- Recommendation confidence threshold 75%; - Always allow user override; - Top-5 suites per code change; - Quarterly retraining on defect patterns,✅ Önerilir,MVP'ye alınmalı
LLM-05,Otomasyon Test Kodu Üretimi,automation / ai-agents / test_ide,Playwright/Appium test code'u otomatik generate etmek,Otomasyon test yazımı 3-5 hafta sürüyor; kod teknik borç içeriyor; Maintenance overhead yüksek,55% maintenance cost reduction; 3-5 hafta → 2-3 gün; Code quality +40%,Code Generator + Agent,App screens (screenshots); UI element descriptions; BDD scenarios; automation best practices,Evet,Evet,POST /api/v1/agents/v2/generate-automation-code; POST /api/v1/agents/v2/runs with dry_run=true,Agent builder page; code preview; diff viewer; apply-with-review button,Evet (Dry run first; user reviews code before execution),Hayır; Dry-run + user review required before actual execution,Yüksek: Code injection risk; Malicious element selectors,Yüksek: Prompt injection in UI descriptions; Tool-call injection,Orta: App architecture may expose in generated code,automation.write + ai.generate,Evet; generated code SHA + intent logged,Code quality metrics; execution success rate; test pass rate; maintainability score,Unit: Code parse/syntax; E2E: Generated code passes on target app; Regression: Code stability over time,Pass rate ≥90%; Syntax valid ≥99%; Maintainability score ≥7/10; Code review acceptance >80%,Yüksek,Orta,P1,MVP,XL,- Screenshot capture API; - UI element indexing; - Playwright/Appium SDKs; - Agent v2 framework ready,- Code generation confidence >80%; - Require user review before execution; - Code sanitization (no secrets); - Automated refactoring post-gen; - Quarterly security audit of patterns,✅ Önerilir,Backend/API desteği gerekli
LLM-06,API Test Senaryo Üretimi,api_testing / ai,API spec'ten test senaryoları otomatik üretmek,API spec'ten manuel test case yazımı repetitif; Coverage'ı kontrol zor; Dokumentasyon spec'le mismatch,Test case üretimi 10-12 saat → 30 dakika; Coverage completeness +35%; Spec-test consistency 100%,Analyzer + Code Generator,OpenAPI/Swagger specs; API response samples; authentication flows; error scenarios,Evet,Evet,POST /api/v1/ai/generate-api-tests; GET /api/v1/api-schemas,API spec uploader page; generated test preview; bulk-apply button; coverage matrix,Evet (all scenarios reviewed; user can edit before bulk add),Hayır; Scenario suggestion only,Düşük: No code execution at generation time,Düşük: OpenAPI spec is typically non-sensitive,Orta: Edge cases may reveal internal API design,api_testing.write + ai.generate,Evet; spec version + generation intent logged,API test pass rate; spec compliance; edge case coverage; user satisfaction,Unit: Generated test parse validity; E2E: Tests detect spec-impl mismatches; Regression: Consistency across spec versions,Pass rate ≥90%; Spec compliance ≥95%; Edge case coverage ≥80%; User acceptance >70%,Düşük,Düşük,P1,MVP,M,- OpenAPI parsing library; - API response collector; - Test execution engine,- Scenario generation confidence >75%; - Edge case limit 5 per endpoint; - Quarterly re-sync with spec,✅ Önerilir,MVP'ye alınmalı
LLM-07,Hata/Bug Analizi ve Kök Neden Bulma,defects / ai,Defect açıklaması ve logu analiz edip kök nedenini sunmak,Debugging 3-4 saat sürüyor; Root cause analizi deneme-yanılma; Çoğu defect duplicate,Debug time 3-4 saat → 15 dakika; Root cause accuracy ≥80%; Duplicate detection 95%,Analyzer + Recommendation,Defect description; error logs; stack trace; reproduction steps; code history; past defects,Evet,Evet,POST /api/v1/ai/analyze-defect; GET /api/v1/ai/rca-suggestions,Defect detail page; RCA panel (top 3 suggestions); confidence score; "View similar defects" link,Evet (RCA is advisory; developer reviews and acts),Hayır; Advisory only,Yüksek: Code leakage in stack trace; PII in logs,Yüksek: Prompt injection in error messages,Yüksek: Logs may contain customer data,defects.read,Evet; RCA accessed/acted-upon logged,RCA confidence score; developer feedback (helpful/not); defect resolution time; fix correctness,Unit: RCA suggestion validity; E2E: RCA leads to 70%+ faster resolution; Regression: Consistency of suggestions across defects,RCA accuracy ≥80%; Resolution time reduction ≥50%; User satisfaction >65%; Duplicate detection >90%,Orta,Düşük,P1,Faz 2,L,- Log aggregation (centralized); - Code repo integration; - Historical defect database,- Minimum confidence 70%; - Automatic PII mask in logs (names, emails, tokens); - RCA auditable (why was this suggested); - Quarterly LLM retraining on real defects,✅ Önerilir,Tasarım onayı sonrası uygulanabilir
LLM-08,Log Analizi ve Anomali Tespiti,ai / quality,Test run log'larını analiz edip anomali ve performance issue'ları detect etmek,Log'lardan actionable insight çıkarmak zor; Performance bottleneck'ler fark edilemiyor; Flakiness pattern'leri bilinmiyor,Anomaly detection accuracy ≥85%; Flakiness root cause 90%+; MTTR -60%,Analyzer + Anomaly Detector,Test execution logs; performance metrics; environment data; test history,Evet,Evet,POST /api/v1/ai/analyze-logs; GET /api/v1/anomalies,Test run result page; Log analysis panel; anomaly badges; trend chart,Hayır (Anomalies are informational; no automatic action),Hayır; Advisory only,Düşük: Analysis-only; no code execution,Orta: Logs may contain sensitive patterns,Yüksek: Customer PII in logs,quality.read,Evet; anomaly detection result logged,Anomaly detection accuracy; false positive rate; actionability; MTTR improvement,Unit: Anomaly pattern recognition; E2E: Detected anomalies correlate with actual issues; Regression: Consistency across test runs,Accuracy ≥85%; False positive <10%; Actionability >70%; MTTR -60%,Düşük,Düşük,P2,Faz 2,L,- Centralized logging; - Performance metric collection; - Baseline establishment,- Confidence threshold 75%; - Human review for critical anomalies; - Auto-masking sensitive patterns; - Quarterly baseline update,✅ Önerilir,Tasarım onayı sonrası uygulanabilir
LLM-09,User Story → Test Case Dönüşümü,test_management / bdd_wizard,User story/requirement'dan otomatik BDD test case'ler çıkarmak,Requirement'dan test case yazımı subjektif; İş rule'lar temsil edilemiyor; Acceptance criteria eşleştirmesi eksik,Test generation 5-6 saat → 30 dakika; Acceptance criteria coverage 100%; Test clarity +50%,Analyzer + Code Generator,User stories; acceptance criteria; business rules; domain knowledge; past test patterns,Evet,Evet,POST /api/v1/ai/generate-tests-from-story; GET /api/v1/story-test-mapping,Story detail page; test generation panel; preview; auto-apply button; traceability link,Evet (all tests reviewed; user can edit scenarios before bulk add),Hayır; Test suggestion mode,Orta: Business rule leakage in prompt,Orta: Story may contain internal info,Yüksek: Test data patterns may expose customer segments,test_management.write + ai.generate,Evet; story-to-test mapping logged,Generated test validity; acceptance criteria match; user satisfaction; traceability audit,Unit: BDD parse validity; E2E: Generated tests catch story violations; Regression: Consistency across stories,Match rate ≥90%; Clarity +50%; User acceptance >75%; Traceability 100%,Orta,Düşük,P1,MVP,M,- Story repository indexed; - Business rule formalization; - BDD framework,- Scenario limit 5 per story (avoid expansion); - Confidence >75%; - Quarterly story pattern update,✅ Önerilir,MVP'ye alınmalı
LLM-10,Requirement Dokümantasyonu Analizi,knowledge_base / ai,Requirement doc'ları analiz edip test case'ler çıkarmak ve gap'ları suggest etmek,Dokümantasyon sık güncellenmiyor; Spec-implementation mismatch %15; Eksik requirement'lar late-stage'de bulunuyor,Gap detection accuracy ≥85%; Test coverage improvement ≥35%; Defect prevention -40%,Analyzer + Document Parser,Requirement docs (PDF/Word/Confluence); past test cases; commit history; defect history,Evet,Evet,POST /api/v1/ai/analyze-requirements; GET /api/v1/requirement-gaps,Documentation page; analysis panel; gap list; test recommendation; diff view,Hayır (Gap detection is advisory),Hayır; Informational,Yüksek: Proprietary doc leakage,Yüksek: Malicious file upload,Yüksek: Complete requirement exposure,test_management.read,Evet; analysis result logged,Gap detection accuracy; false positive rate; downstream defect prevention,Unit: Doc parsing accuracy; E2E: Identified gaps prevent future defects; Regression: Consistency of gap detection,Accuracy ≥85%; False positive <10%; Defect prevention ≥40%; Doc comprehensiveness score +25%,Orta,Düşük,P2,Faz 2,L,- Document storage (MinIO); - PDF parsing library; - Embedding generation,- Confidence >75%; - File size limit 50MB; - PII scan before indexing; - Monthly doc refresh,✅ Önerilir,Tasarım onayı sonrası uygulanabilir
